Time,Latitude,Longitude,kts,Speed(mph),Altitude
Sat 09:25:07 AM,45.9961,-78.1852,61,70,"47,825"
Sat 09:25:29 AM,45.9948,-78.1758,62,71,"48,025"
Sat 09:25:47 AM,45.9942,-78.1689,59,68,"48,250"
Sat 09:26:03 AM,45.9941,-78.1629,61,70,"48,400"
Sat 09:26:28 AM,45.9932,-78.1519,61,70,"48,625"
Sat 09:26:58 AM,45.9922,-78.1404,63,72,"48,875"
Sat 09:27:16 AM,45.9912,-78.1321,67,77,"49,075"
Sat 09:27:42 AM,45.99,-78.1217,64,74,"49,450"
Sat 09:28:02 AM,45.9894,-78.1139,52,60,"49,875"
Sat 09:28:19 AM,45.9885,-78.1082,56,64,"50,100"
Sat 09:28:38 AM,45.9879,-78.1013,58,67,"50,300"
Sat 09:28:54 AM,45.9876,-78.0951,56,64,"50,500"
Sat 09:29:11 AM,45.9873,-78.0899,64,74,"50,150"
Sat 09:29:29 AM,45.9867,-78.0827,69,79,"49,025"
Sat 09:29:47 AM,45.9861,-78.0749,54,62,"47,975"
Sat 09:30:05 AM,45.9846,-78.0685,73,84,"46,975"
Sat 09:30:21 AM,45.9835,-78.0629,75,86,"46,050"
Sat 09:30:39 AM,45.9816,-78.056,80,92,"45,125"
Sat 09:30:57 AM,45.9797,-78.0469,79,91,"44,075"
Sat 09:31:15 AM,45.9786,-78.0372,75,86,"43,125"
Sat 09:31:32 AM,45.9783,-78.0293,68,78,"42,300"
Sat 09:31:51 AM,45.9771,-78.0198,82,94,"41,275"
Sat 09:32:08 AM,45.9752,-78.0108,87,100,"40,375"
Sat 09:32:28 AM,45.9731,-78.0002,80,92,"39,375"
Sat 09:32:46 AM,45.9721,-77.9917,81,93,"38,550"
Sat 09:33:02 AM,45.9711,-77.9857,56,64,"37,700"
Sat 09:33:20 AM,45.9685,-77.978,67,77,"36,800"
Sat 09:33:38 AM,45.9655,-77.9685,85,98,"35,900"
Sat 09:33:56 AM,45.9636,-77.9593,80,92,"35,075"
Sat 09:34:13 AM,45.962,-77.9504,79,91,"34,275"
Sat 09:34:29 AM,45.9607,-77.9419,73,84,"33,500"
Sat 09:34:47 AM,45.9591,-77.9334,76,87,"32,750"
Sat 09:35:05 AM,45.9569,-77.9252,84,97,"31,900"
Sat 09:35:22 AM,45.9547,-77.917,73,84,"31,100"
Sat 09:35:38 AM,45.953,-77.9103,73,84,"30,475"
Sat 09:35:56 AM,45.9503,-77.9014,64,74,"29,650"
Sat 09:36:12 AM,45.9482,-77.8945,73,84,"29,075"
Sat 09:36:28 AM,45.9457,-77.8863,83,96,"28,400"
Sat 09:36:46 AM,45.943,-77.8775,89,102,"27,625"
Sat 09:37:03 AM,45.9405,-77.8696,72,83,"26,950"
Sat 09:37:20 AM,45.9378,-77.8611,74,85,"26,325"
Sat 09:37:38 AM,45.9348,-77.8521,77,89,"25,650"
Sat 09:37:54 AM,45.9321,-77.8438,86,99,"25,050"
Sat 09:38:14 AM,45.9287,-77.8329,82,94,"24,300"
Sat 09:38:30 AM,45.9259,-77.8248,96,110,"23,725"
Sat 09:38:47 AM,45.923,-77.8163,90,104,"23,125"
Sat 09:39:05 AM,45.9205,-77.8075,76,87,"22,475"
Sat 09:39:25 AM,45.9177,-77.7978,69,79,"21,775"
Sat 09:39:43 AM,45.915,-77.788,78,90,"21,100"
Sat 09:40:00 AM,45.9131,-77.7798,78,90,"20,600"
Sat 09:40:16 AM,45.9112,-77.7717,70,81,"20,025"
Sat 09:40:34 AM,45.9092,-77.7624,74,85,"19,450"
Sat 09:40:51 AM,45.9072,-77.7537,84,97,"18,875"
Sat 09:41:09 AM,45.9052,-77.7455,66,76,"18,275"
Sat 09:41:25 AM,45.9033,-77.7381,61,70,"17,775"
Sat 09:41:45 AM,45.9009,-77.7291,64,74,"17,100"
Sat 09:42:04 AM,45.8989,-77.7216,56,64,"16,525"
Sat 09:42:24 AM,45.8971,-77.7148,53,61,"15,900"
Sat 09:42:41 AM,45.8957,-77.7091,46,53,"15,400"
Sat 09:42:58 AM,45.8939,-77.7034,55,63,"14,850"
Sat 09:43:14 AM,45.8922,-77.6984,41,47,"14,350"
Sat 09:43:30 AM,45.8906,-77.6939,58,67,"13,900"
Sat 09:43:47 AM,45.8888,-77.689,38,44,"13,400"
Sat 09:44:04 AM,45.8868,-77.6849,33,38,"12,900"
Sat 09:44:20 AM,45.8849,-77.6812,46,53,"12,400"
Sat 09:44:41 AM,45.8825,-77.6766,41,47,"11,800"
Sat 09:44:57 AM,45.8808,-77.673,49,56,"11,375"
Sat 09:45:13 AM,45.8789,-77.6697,28,32,"10,950"
Sat 09:45:32 AM,45.8769,-77.6662,30,35,"10,425"
Sat 09:45:51 AM,45.8748,-77.663,28,32,"9,900"
Sat 09:46:07 AM,45.8731,-77.6606,29,33,"9,500"
Sat 09:46:24 AM,45.8716,-77.6586,31,36,"9,050"
Sat 09:46:43 AM,45.8695,-77.6566,35,40,"8,575"
Sat 09:47:01 AM,45.8675,-77.6556,17,20,"8,125"
Sat 09:47:19 AM,45.8655,-77.655,29,33,"7,650"
Sat 09:47:38 AM,45.8635,-77.6541,35,40,"7,200"
Sat 09:47:57 AM,45.8615,-77.6532,26,30,"6,750"
Sat 09:48:15 AM,45.86,-77.6521,17,20,"6,325"
Sat 09:48:34 AM,45.8593,-77.6502,26,30,"5,925"
Sat 09:48:53 AM,45.8584,-77.6482,14,16,"5,475"
Sat 09:49:09 AM,45.8578,-77.6464,25,29,"5,125"
Sat 09:49:29 AM,45.8569,-77.6445,11,13,"4,675"
Sat 09:49:49 AM,45.8561,-77.6425,22,25,"4,175"
Sat 09:50:09 AM,45.8552,-77.641,9,10,"3,750"
Sat 09:50:29 AM,45.8545,-77.6392,21,24,"3,300"
Sat 09:50:45 AM,45.8538,-77.6382,9,10,"2,900"
Sat 09:51:04 AM,45.8531,-77.6369,21,24,"2,475"
